,A팀_득점,A팀_범실,A팀_공격종합성공률,A팀_오픈_성공률,A팀_속공_성공률,A팀_퀵오픈_성공률,A팀_서브_성공률,A팀_블로킹_성공률,A팀_디그_성공률,A팀_디그_점유율,A팀_리시브_성공률,A팀_리시브_점유율,A팀MVP,target,B팀_득점,B팀_범실,B팀_공격종합성공률,B팀_오픈_성공률,B팀_속공_성공률,B팀_퀵오픈_성공률,B팀_서브_성공률,B팀_블로킹_성공률,B팀_디그_성공률,B팀_디그_점유율,B팀_리시브_성공률,B팀_리시브_점유율,B팀MVP
185,62.0,20.0,36.13,34.48555555555556,18.518888888888892,27.244444444444444,0.2677777777777778,3.4482758620689653,84.4155844155844,10.562222222222223,41.0958904109589,11.112222222222222,0,0.0,60.0,24.0,32.78,32.35625,10.0,17.80625,0.1875,10.416666666666668,85.0,12.5,34.523809523809526,12.5,1
186,77.0,23.0,22.796,26.237000000000002,10.286,11.071000000000002,0.02,5.952380952380952,82.45614035087719,9.914,47.27272727272727,9.999,1,1.0,92.0,18.0,28.205000000000002,16.718,14.286000000000001,15.899000000000001,0.125,11.363636363636363,83.60655737704919,9.998999999999999,52.22222222222223,10.0,0
187,89.0,25.0,21.156363636363636,15.183636363636362,12.12090909090909,14.136363636363637,0.1590909090909091,14.893617021276595,90.4,9.090909090909092,37.07865168539326,9.090909090909092,0,0.0,70.0,17.0,15.296000000000001,10.706999999999999,4.7219999999999995,22.887999999999998,0.02,18.085106382978726,85.47008547008546,9.915000000000001,56.70103092783505,9.998999999999999,1
188,70.0,27.0,11.83,12.66909090909091,1.01,13.72909090909091,0.07727272727272728,10.0,86.60714285714286,9.090909090909092,38.54166666666667,8.814545454545454,1,1.0,75.0,20.0,26.426,16.397,8.334,14.482,0.04,11.702127659574469,88.57142857142857,9.998000000000001,56.25,10.0,1
189,66.0,25.0,26.377,21.743000000000002,6.333,12.5,0.075,11.76470588235294,90.83333333333333,10.001000000000001,71.25,9.875,0,1.0,59.0,14.0,20.4925,20.2025,8.33375,18.06875,0.125,10.526315789473683,85.96491228070175,11.97375,39.436619718309856,12.15875,1
190,57.0,10.0,20.263333333333335,18.89111111111111,10.0,15.384444444444446,0.18444444444444447,15.90909090909091,86.07594936708861,10.972222222222221,59.64912280701755,11.11111111111111,0,0.0,49.0,15.0,24.268571428571427,19.014285714285712,11.904285714285715,13.735714285714286,0.14285714285714285,9.090909090909092,83.75,13.288571428571428,46.55172413793103,12.008571428571429,1
191,86.0,20.0,23.017000000000003,16.606,13.334,14.332999999999998,0.06,7.59493670886076,82.03125,10.001,58.16326530612245,10.0,0,0.0,83.0,16.0,24.822,17.255000000000003,21.0,9.404,0.06000000000000001,12.643678160919542,84.48275862068965,9.914,47.91666666666667,10.001000000000001,1
192,80.0,15.0,28.405555555555555,25.651111111111113,11.904444444444444,9.036666666666667,0.1111111111111111,12.643678160919542,84.95575221238938,11.10888888888889,53.93258426966292,11.112222222222222,0,0.0,81.0,19.0,17.478,20.72,10.0,13.038999999999998,0.05,12.0,84.87394957983193,9.916,48.95833333333333,10.001000000000001,1
193,60.0,23.0,34.16555555555556,23.26,18.518888888888892,12.962222222222222,0.12000000000000001,10.638297872340425,80.53097345132744,10.918888888888889,47.72727272727273,11.112222222222222,0,1.0,74.0,19.0,25.900000000000002,21.185000000000002,9.72125,17.96875,0.125,8.21917808219178,87.61904761904762,12.38125,35.2112676056338,12.32875,1
194,73.0,21.0,25.15,11.411,21.667,16.042,0.14500000000000002,19.047619047619047,75.0,10.0,48.68421052631579,10.001,1,0.0,68.0,28.0,27.685555555555556,22.22222222222222,13.88888888888889,17.33111111111111,0.06666666666666668,7.4074074074074066,80.45977011494253,11.11111111111111,42.22222222222222,11.11111111111111,1
